SYMBOL,TOTTRDQTY,TIMESTAMP
ADANIPORTS,7606729,15-Apr-20
ADANIPOWER,16172034,15-Apr-20
AMARAJABAT,948123,15-Apr-20
AMBUJACEM,9909062,15-Apr-20
APOLLOHOSP,2274130,15-Apr-20
APOLLOTYRE,6059059,15-Apr-20
ASHOKLEY,60309614,15-Apr-20
ASIANPAINT,2508280,15-Apr-20
AUROPHARMA,12644934,15-Apr-20
AXISBANK,48315084,15-Apr-20
BAJAJ-AUTO,986750,15-Apr-20
BAJAJFINSV,983071,15-Apr-20
BAJFINANCE,9333672,15-Apr-20
BALKRISIND,556182,15-Apr-20
BANDHANBNK,24176595,15-Apr-20
BANKBARODA,20243132,15-Apr-20
BATAINDIA,1088202,15-Apr-20
BEL,11486310,15-Apr-20
BERGEPAINT,2418076,15-Apr-20
BHARATFORG,1875218,15-Apr-20
BHARTIARTL,25793155,15-Apr-20
BHEL,40178521,15-Apr-20
BIOCON,8436365,15-Apr-20
BOSCHLTD,55034,15-Apr-20
BPCL,6299482,15-Apr-20
BRITANNIA,1011691,15-Apr-20
CADILAHC,11480952,15-Apr-20
CANBK,11008091,15-Apr-20
CENTURYTEX,1822976,15-Apr-20
CESC,976738,15-Apr-20
CHOLAFIN,5959935,15-Apr-20
CIPLA,16213849,15-Apr-20
COALINDIA,10487978,15-Apr-20
COLPAL,1062751,15-Apr-20
CONCOR,1724976,15-Apr-20
CUMMINSIND,2314627,15-Apr-20
DABUR,4343315,15-Apr-20
DIVISLAB,1136727,15-Apr-20
DLF,9821552,15-Apr-20
DRREDDY,1725113,15-Apr-20
EICHERMOT,275594,15-Apr-20
EQUITAS,13837992,15-Apr-20
ESCORTS,6783089,15-Apr-20
EXIDEIND,3026934,15-Apr-20
FEDERALBNK,27800697,15-Apr-20
GAIL,13427323,15-Apr-20
GLENMARK,21789838,15-Apr-20
GMRINFRA,32427104,15-Apr-20
GODREJCP,2778395,15-Apr-20
GODREJPROP,325354,15-Apr-20
GRASIM,2125336,15-Apr-20
HAVELLS,3595791,15-Apr-20
HCLTECH,6333192,15-Apr-20
HDFC,8512332,15-Apr-20
HDFCBANK,28989523,15-Apr-20
HDFCLIFE,3951830,15-Apr-20
HEROMOTOCO,1537630,15-Apr-20
HINDALCO,45561435,15-Apr-20
HINDPETRO,7486566,15-Apr-20
HINDUNILVR,29485532,15-Apr-20
IBULHSGFIN,24767179,15-Apr-20
ICICIBANK,49134201,15-Apr-20
ICICIPRULI,2874352,15-Apr-20
IDEA,709334485,15-Apr-20
IDFCFIRSTB,31376448,15-Apr-20
