SYMBOL,EXPIRY_DT,OPEN_INT,CHG_IN_OI,TIMESTAMP,HighCOI%
RECLTD,30-Apr-2020,282000.0,12000.0,05-MAR-2020,4.25531914893617
RELIANCE,26-Mar-2020,35025500.0,1206500.0,05-MAR-2020,3.444633195814478
RELIANCE,30-Apr-2020,2406500.0,317500.0,05-MAR-2020,13.193434448369
RELIANCE,28-May-2020,58500.0,12500.0,05-MAR-2020,21.367521367521366
SAIL,26-Mar-2020,72015900.0,2826000.0,05-MAR-2020,3.924133420536298
SAIL,30-Apr-2020,2041000.0,204100.0,05-MAR-2020,10.0
SAIL,28-May-2020,141300.0,15700.0,05-MAR-2020,11.11111111111111
SBIN,26-Mar-2020,139440000.0,2799000.0,05-MAR-2020,2.007314974182444
SBIN,30-Apr-2020,5778000.0,1395000.0,05-MAR-2020,24.143302180685357
SBIN,28-May-2020,909000.0,426000.0,05-MAR-2020,46.864686468646866
SHREECEM,26-Mar-2020,159250.0,400.0,05-MAR-2020,0.25117739403453687
SHREECEM,30-Apr-2020,1650.0,-50.0,05-MAR-2020,-3.0303030303030303
SIEMENS,26-Mar-2020,1940400.0,39050.0,05-MAR-2020,2.012471655328798
SIEMENS,30-Apr-2020,34650.0,550.0,05-MAR-2020,1.5873015873015872
SRF,26-Mar-2020,781000.0,32500.0,05-MAR-2020,4.161331626120359
SRF,28-May-2020,250.0,250.0,05-MAR-2020,100.0
SRTRANSFIN,26-Mar-2020,3835800.0,-342600.0,05-MAR-2020,-8.93164398560926
SRTRANSFIN,30-Apr-2020,133800.0,13200.0,05-MAR-2020,9.865470852017937
SUNPHARMA,26-Mar-2020,68922500.0,-847500.0,05-MAR-2020,-1.2296419891907577
SUNPHARMA,30-Apr-2020,750000.0,11250.0,05-MAR-2020,1.5
SUNPHARMA,28-May-2020,6250.0,2500.0,05-MAR-2020,40.0
SUNTV,26-Mar-2020,6338400.0,73200.0,05-MAR-2020,1.1548655812192352
SUNTV,30-Apr-2020,45600.0,2400.0,05-MAR-2020,5.263157894736842
SUNTV,28-May-2020,3600.0,1200.0,05-MAR-2020,33.33333333333333
TATACHEM,26-Mar-2020,1128600.0,303300.0,05-MAR-2020,26.87400318979266
TATACHEM,30-Apr-2020,36900.0,7200.0,05-MAR-2020,19.51219512195122
TATACHEM,28-May-2020,900.0,900.0,05-MAR-2020,100.0
TATACONSUM,26-Mar-2020,16915500.0,89100.0,05-MAR-2020,0.5267358339984038
TATACONSUM,30-Apr-2020,180900.0,-10800.0,05-MAR-2020,-5.970149253731343
TATAMOTORS,26-Mar-2020,87247000.0,-554700.0,05-MAR-2020,-0.6357811729916215
TATAMOTORS,30-Apr-2020,4601000.0,580500.0,05-MAR-2020,12.616822429906541
TATAMOTORS,28-May-2020,253700.0,47300.0,05-MAR-2020,18.64406779661017
TATAPOWER,26-Mar-2020,63783000.0,-747000.0,05-MAR-2020,-1.1711584591505575
TATAPOWER,30-Apr-2020,639000.0,54000.0,05-MAR-2020,8.450704225352112
TATAPOWER,28-May-2020,45000.0,18000.0,05-MAR-2020,40.0
TATASTEEL,26-Mar-2020,21202500.0,27000.0,05-MAR-2020,0.1273434736469756
TATASTEEL,30-Apr-2020,447000.0,-12000.0,05-MAR-2020,-2.684563758389262
TATASTEEL,28-May-2020,31500.0,4500.0,05-MAR-2020,14.285714285714285
TCS,26-Mar-2020,7329500.0,427250.0,05-MAR-2020,5.829183436796508
TCS,30-Apr-2020,85000.0,-4250.0,05-MAR-2020,-5.0
TCS,28-May-2020,4750.0,500.0,05-MAR-2020,10.526315789473683
TECHM,26-Mar-2020,14209200.0,76800.0,05-MAR-2020,0.540494890634237
TECHM,30-Apr-2020,152400.0,3600.0,05-MAR-2020,2.3622047244094486
TECHM,28-May-2020,6000.0,1200.0,05-MAR-2020,20.0
TITAN,26-Mar-2020,5970750.0,93750.0,05-MAR-2020,1.5701545032031152
